materia,organo_tipo,versiones_activas,versions,rule_pack_version_ids,payload_hashes,has_duplicate
ACUERDO_CONVOCATORIA_JUNTA,CONSEJO,1,1.0.0,710f7ebd-4ba0-4cc3-8e44-1ae505119b18,f29e3987f07ac823e34081cc07ccabc723b853d8c177325326c8a9219ad11e5c,No
APLICACION_RESULTADO,JUNTA_GENERAL,1,1.0.1,7f6827ab-b408-4543-9eaa-08bb0e97a375,d9949d380a6f70471d058f90ca81c21af9ee5d435144819d51b5b646ffef20cd,No
APROBACION_CUENTAS,JUNTA_GENERAL,1,1.0.1,012333cb-2813-413b-b873-b7283b9e962b,e528b86c4e838e56aa3686439c58a451ba6271f71c3d3d064d3dc16a2b1cd6b8,No
APROBACION_PLAN_NEGOCIO,CONSEJO,1,1.0.0,060cb4c1-3c23-4a70-928e-c5338e74c699,06a83db8cbd0b4948e1dee39b46e96de3061c57c6a7999404f58f86bf5aa0237,No
APROBACION_PRESUPUESTO,CONSEJO,1,1.0.0,558f2a38-92f8-4aef-9414-1094fd8ef0ac,72842fccc7e6f8bb4f82545657bbec4f8d03dc21518c3a5594458fca364ec96e,No
APROBACION_REGLAMENTO_CONSEJO,CONSEJO,1,1.0.0,807f042d-9451-4a26-9ca0-b731ae42a8fc,2ec54b6f30fc590cf14c3ede7bcb2d039c019a05754f194f4c00e890c97aa107,No
AUMENTO_CAPITAL,JUNTA_GENERAL,1,1.0.1,64f4de9c-bb3f-47db-8f79-87bd49b694ed,dba0a2e8e6a4c5e45b26d86f7481f34ee04ca01ca19aa0026ff606e04e74ed09,No
AUMENTO_CAPITAL_NO_DINERARIO,JUNTA_GENERAL,1,v1.0.0,4abb47ee-9eda-4d24-937a-f98f0bcdbbad,b21aee661a639e544bf011795ac3f3760e4e6cc95230664da6bb22640baa3e78,No
AUTORIZACION_GARANTIA,CONSEJO,1,1.1.0,07afa00f-a0bb-4ab1-9c82-b3e908e46606,343910a60e904b424382c1a894928d0d7f777a99feebb6732ac4c8fca1dd9cf1,No
AUTORIZACION_GARANTIA,JUNTA_GENERAL,1,1.0.1,45b041b7-182c-4a58-8d12-7636aa9fe8c8,628dd8db02b099499a1f63a5746797cb4c7c389cac1ba4104799d769b688c4cf,No
CESE_CONSEJERO,JUNTA_GENERAL,1,1.0.1,4a97f0a9-b5e3-4e85-9829-d2fde0348483,9dc85ccb05bd3f01354f41ebd97ed690ef7ae57dfb0eaf2e0304edef128a6e25,No
CESION_GLOBAL_ACTIVO,JUNTA_GENERAL,1,v1.0.0,ce5d8a12-9655-4b96-88e8-35dccde6dc29,5b351b48d87f9887311e109efc50636642c8e8c17d005ae60a6524b8dc5ba5dd,No
CONTRATOS_SOCIO_UNICO_SOCIEDAD,SOCIO_UNICO,1,1.0.0,94b4ed4a-250a-45e7-9cb8-a3f890bdb62a,5e517d66a1fed48aaa95f23112a4ee543b7e3bd1dfa7ca885cbdd79daf6136b9,No
COOPTACION,CONSEJO,1,1.0.0,779e9d4c-ddd1-401a-a614-6cbc35eff301,9d263c34b3d9aa8c3f417bbc85108d8ddd11ba55244cf357d95ae5ba836ecc32,No
CUENTAS_CONSOLIDADAS,CONSEJO,1,1.0.0,3ff3dc3c-218e-4f45-849d-dce16a29b730,06d70eed2c7fa3143b0f4ba5e91227f0c331e528d3189dd5a5827a4f1c0191d2,No
DELEGACION_FACULTADES,CONSEJO,1,1.1.0,36a3b08c-c05e-4f4b-846a-2985656d8c43,fd78adc66d6f3227c34e2672abb1c7a9b2da37c12bacfec045d246f5b41ad37b,No
DISOLUCION,JUNTA_GENERAL,1,v1.0.0,cf2f5a40-e47c-48e8-9a0f-1bddfb65da7e,59e89d150a8e1e0ce3ae3cba5547094828843397bd2d2ded3893a097d7089db1,No
DISTRIBUCION_CARGOS,CONSEJO,1,1.0.0,bdf4e7b0-0890-4f74-bfc1-4f7401f6eb9d,a4c94a55d045cfd62deebaef9b7a0bf7f9eab4f2f174dea12c42713319799fc8,No
DISTRIBUCION_DIVIDENDOS,JUNTA_GENERAL,1,1.0.1,df77b1ef-dde0-40d5-8de1-07ee779a9f06,7d4083031b2588ad83e3fe5e6ff18c52a5924a348601641b09972e8ac2a50365,No
DIVIDENDO_A_CUENTA,CONSEJO,1,1.0.0,b414897d-1c26-415d-9c06-000caa713b70,c8e2011d41dd35131f89e684714a203f6f6ada98bbf15faa511eaa7e8759596d,No
EJECUCION_AUMENTO_DELEGADO,CONSEJO,1,1.0.0,b83d9df4-7690-4eb9-b726-d3de3e8d87f3,b745618db4624132f4f30c56417141685d627b2bba42471865ff633e1586c549,No
EMISION_OBLIGACIONES,JUNTA_GENERAL,1,v1.0.0,5951215d-cbe1-46c8-b553-26e511f0d3ac,c21296ccf8e737b5488fc4426d9d1b655913370ee9b472fccbef4e6b30679e72,No
ESCISION,JUNTA_GENERAL,1,v1.0.0,77177821-9ed8-49bf-b7a1-087939530639,6ff592571fc99b3f2b8eed4bc4ff1afa84ea042ed95329b1ae68243ab41d049b,No
EXCLUSION_SOCIO,JUNTA_GENERAL,1,1.0.0,e0418837-6f71-434e-bda8-98b809f1cd93,e8d253fb47a75094712403223654744fa6b30f09d3fd47110336fbe78c45e71c,No
FORMULACION_CUENTAS,CONSEJO,1,v1.0.0,5a43f95d-0589-4888-afdf-147405e0b44e,2b17a2396a975042ec76b0f56e0e89e505ee4e05977b2b9416af238ac0b950c1,No
FUSION,JUNTA_GENERAL,1,v1.0.0,f274e1db-3a26-485b-b3a7-20fd0a2a0fb7,b7782a903d74251a5439e238de695ffc927b4ee386bb1c7f4da56c19be90008b,No
INFORME_GESTION,CONSEJO,1,1.0.0,c642e22b-dcd9-42bb-8e7f-085ba2b38abe,1b0f3370ba169f2246743ac75b467259f293595a1b38c9f0e4be9c0f146c557d,No
MOD_ESTATUTOS,JUNTA_GENERAL,1,v1.0.0,d8ac0b64-d438-48d2-b688-13b601902f5b,32817d599ac86a88cd78d18d37c024bbe60fc1e3c91dd23c15dcf9e61326f89d,No
MODIFICACION_ESTATUTOS,JUNTA_GENERAL,1,1.0.1,966d65d0-4b83-4773-9101-4e8b5fe7dbf3,4e2b214e01954c13ca8dc764d42ed6ace253b208344491fd51ce242dd57f51e2,No
NOMBRAMIENTO,JUNTA_GENERAL,1,1.0.1,2a8dfc29-89fb-4c28-996b-93ebc6586ba8,fc67b3445cd374a178c4178e9734c09fa40a4dc494cd9be1e64e65b5989d8794,No
NOMBRAMIENTO_AUDITOR,JUNTA_GENERAL,1,1.1.1,c74c3374-0f6a-4009-9724-95634bfe4678,fa9cbc2d4de2a56103ccbc8c8ea7de1944c93709760bdea1e14dce2914b3103d,No
NOMBRAMIENTO_CONSEJERO,CONSEJO,1,1.0.0,3a8028f9-2b9c-414b-8e16-a6b50b3177b2,6bd178eefefb6e69fae35866a975a514f9be481d3a4575bec06cef15cd961d28,No
OPERACION_VINCULADA,CONSEJO,1,1.0.0,05fd0c53-ec36-4e3b-8c4d-f55da7498ce5,7b829d90a4db64ef78f8c699a555c4cf3f4ea557d143dae18d8f4af6fbd021c5,No
PODER_REPRESENTACION,CONSEJO,1,1.0.0,84303883-9aba-46c5-8491-717098d8747c,1dabcf3897fdf343ea3bafcf89d0d75ad4b539ed14868bf21c2d7bf4c1750cd0,No
PRESTACIONES_ACCESORIAS,JUNTA_GENERAL,1,1.0.0,005eebc0-8920-443d-8603-c86cb3b79908,f809ae507f37e73ad86d99571f7034d15d2a5f430553373bde290baf51dffbde,No
RATIFICACION_ACTOS,CONSEJO,1,1.1.0,8476e78f-ac8b-437f-81a6-d9bb46793ea4,1365851827135e30e1df46e51cb9b7aea58a256b64ad4a45abc17f410824c316,No
REDUCCION_CAPITAL,JUNTA_GENERAL,1,1.0.1,99c1196a-babc-4249-ac55-86af43a02516,b5224d33875a51be2e5ce39dc6315bfec79ed3379189ea0e3fc85971153fa11b,No
RETRIBUCION_ADMIN,JUNTA_GENERAL,1,v1.0.0,29cb30ef-a4e9-4b32-8031-63a35f87ea19,cac9511e8800e749c6c4b69a00483c44a0ef0c5aa824ed1ca2ecac6b41376d6e,No
SEPARACION_SOCIO,SOPORTE_INTERNO,1,1.0.0,2735e7d3-61ab-469e-ac8e-3aaa922c812b,00215359ce92a6ea69b2ba347257937fa41f8a9ac4a0db7290fd0d8a67d037f7,No
SOCIEDAD_UNIPERSONAL,SOCIO_UNICO,1,1.0.0,add24bc6-e4ca-4b07-960b-c40858b4895c,9ce25af7db5d83cc3abb3212ffac44cf2bcf4676777b7e8275eecb726e1f0c7b,No
SUPRESION_PREFERENTE,JUNTA_GENERAL,1,v1.0.0,a2f842ae-ba87-4293-9742-bd3ba95ad5b7,03a323edea503e51cdbbc6c192c3207bbd859c7fc7b13bd40b6a40892e797624,No
TRANSFORMACION,JUNTA_GENERAL,1,v1.0.0,2794af7f-acec-43f7-a086-bea253513367,b401211b916f03696683a4873addf1681b235d437c435e161d4c4113ce96b3de,No
TRANSMISION_PARTICIPACIONES,JUNTA_GENERAL,1,1.0.0,6a3e991a-057f-45c9-8556-77d89589c5d1,ba001d1e199670f8bbec2a8e8e91b37fbf4e59545154b48dd04de05513e10c45,No
TRASLADO_DOMICILIO_NACIONAL,CONSEJO,1,1.0.0,1c36ee91-4f5b-4040-8e59-8b53a3fddfb2,104864ce76589348b01db253b0fe0e7a74b1877c6c5c325c3130812dd97792e0,No
